"module name","licenses","repository","licenseUrl","parents"
"isbinaryfile@4.0.2","MIT","https://github.com/gjtorikian/isBinaryFile","https://github.com/gjtorikian/isBinaryFile/raw/master/LICENSE.txt","com.gams.miro"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe","https://github.com/isaacs/isexe/raw/master/LICENSE","com.gams.miro"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream","https://github.com/rvagg/isstream/raw/master/LICENSE.md","com.gams.miro"
"jquery@3.4.1","MIT","https://github.com/jquery/jquery","https://github.com/jquery/jquery/raw/master/LICENSE.txt","com.gams.miro"
"js-yaml@3.13.1","MIT","https://github.com/nodeca/js-yaml","https://github.com/nodeca/js-yaml/raw/master/LICENSE","com.gams.miro"
"jsbn@0.1.1","MIT","https://github.com/andyperlitch/jsbn","https://github.com/andyperlitch/jsbn/raw/master/LICENSE","com.gams.miro"
"json-buffer@3.0.0","MIT","https://github.com/dominictarr/json-buffer","https://github.com/dominictarr/json-buffer/raw/master/LICENSE","com.gams.miro"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","com.gams.miro"
"json-schema-typed@7.0.1","bsd-2-clause","https://github.com/typeslick/json-schema-typed","https://github.com/typeslick/json-schema-typed/raw/master/LICENSE","com.gams.miro"
"json-schema@0.2.3","AFLv2.1,BSD","http://github.com/kriszyp/json-schema","http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L43,http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L13","com.gams.miro"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe","https://github.com/isaacs/json-stringify-safe/raw/master/LICENSE","com.gams.miro"
"json5@2.1.1","MIT","https://github.com/json5/json5","https://github.com/json5/json5/raw/master/LICENSE.md","com.gams.miro"
"jsonfile@4.0.0","MIT","https://github.com/jprichardson/node-jsonfile","https://github.com/jprichardson/node-jsonfile/raw/master/LICENSE","com.gams.miro"
"jsprim@1.4.1","MIT","https://github.com/joyent/node-jsprim","https://github.com/joyent/node-jsprim/raw/master/LICENSE","com.gams.miro"
"keyv@3.1.0","MIT","https://github.com/lukechilds/keyv","https://github.com/lukechilds/keyv/raw/master/LICENSE","com.gams.miro"
"latest-version@5.1.0","MIT","https://github.com/sindresorhus/latest-version","https://github.com/sindresorhus/latest-version/raw/master/license","com.gams.miro"
"lazy-val@1.0.4","MIT","https://github.com/develar/lazy-val","https://github.com/develar/lazy-val","com.gams.miro"
"load-json-file@1.1.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","com.gams.miro"
"locate-path@3.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","com.gams.miro"
"loud-rejection@1.6.0","MIT","https://github.com/sindresorhus/loud-rejection","https://github.com/sindresorhus/loud-rejection/raw/master/license","com.gams.miro"
"lowercase-keys@1.0.1","MIT","https://github.com/sindresorhus/lowercase-keys","https://github.com/sindresorhus/lowercase-keys/raw/master/license","com.gams.miro"
"lowercase-keys@2.0.0","MIT","https://github.com/sindresorhus/lowercase-keys","https://github.com/sindresorhus/lowercase-keys/raw/master/license","cacheable-request:com.gams.miro"
